id,structure_68947,structure_26183,structure_c825f,structure_272c0,structure_ca406,structure_8722a,runtime_perc_diff,memory_perc_diff,cpu_perc_diff,runtime,memory,cpu,runtime_has_improved,memory_has_improved,cpu_has_improved
82fa8,claude-v3-sonnet,original,claude-v3-sonnet_1,claude-v3-sonnet,gpt-4_1,gpt-4-turbo,5.284218627426245,0.12257920369454786,-10.865735793618747,64.94669263735413,271253753.6271734,14.790184864661871,False,False,True
b9fca,original,claude-v3-haiku_1,original,claude-v3-sonnet,original,original,-7.494895568683626,-1.2664575109391247,0.21750246138106694,73.70934221744537,275026192.07989204,13.311611331395564,True,True,False
2715f,gpt-4-turbo,gpt-4_2,original,claude-v3-sonnet,claude-v3-haiku,original,-5.173675933665664,-0.8204715338422653,-0.3981005563225447,72.11767992004752,273814953.6499437,13.393736637017756,True,True,True
4f167,claude-v3-sonnet,claude-v3-sonnet_3,claude-v3-sonnet,claude-v3-sonnet,original,original,5.4869320943670346,0.08044092581570593,-10.516875062241485,64.80769183896481,271368195.5696554,14.743644653909147,False,False,True
70d6a,gpt-4,claude-v3-haiku_1,original,original,gpt-4_1,claude-v3-sonnet,-5.290180667018763,-0.7547395461969304,-1.8200760837560934,72.19756731577218,273636434.33857167,13.583437095623992,True,True,True
e5eb4,gpt-4-turbo,claude-v3-sonnet_3,claude-v3-sonnet,claude-v3-sonnet,original,original,-5.239624175716721,-0.39670951893729917,0.6066156677552219,72.16290068626404,272664072.53716433,13.259701187884062,True,True,False
6d4a6,original,gpt-4_2,claude-v3-sonnet_1,gpt-4-turbo,original,gpt-4-turbo,-7.4618988297360715,-0.5937667314008457,4.791189640728748,73.68671632520855,273199253.64350325,12.701452760657249,True,True,False
1106e,gpt-4,gpt-4_3,claude-v3-sonnet,gpt-4-turbo,original,gpt-4-turbo,-6.3380394928388375,-0.3541024999256121,-0.32315511435522243,72.91608501262962,272548357.55628437,13.383738444758212,True,True,True
7ce0a,claude-v3-sonnet,claude-v3-sonnet_3,claude-v3-sonnet_1,gpt-4-turbo,original,gpt-4-turbo,-4.508611998152331,-0.6165280217457051,1.1061116585942097,71.66164500825107,273261070.27226895,13.193065288245796,True,True,False
ed8e2,claude-v3-sonnet,gpt-4-turbo_1,claude-v3-sonnet_1,original,gpt-4_2,claude-v3-sonnet,-2.0347724355963277,-1.4631088695439942,-2.654440060928606,69.96533109545707,275560270.941282,13.694746486018227,True,True,True
2fa6b,original,original,claude-v3-sonnet,original,gpt-4_2,gpt-4-turbo,-4.535538296965317,-0.5657732349560896,-0.5356712171905453,71.68010839447379,273123227.0408212,13.412089426467322,True,True,True
03ac1,gpt-4-turbo,original,claude-v3-sonnet_1,original,gpt-4_2,gpt-4-turbo,-5.24064031433245,-1.2681981441226118,-0.8818060228942504,72.16359745338559,275030919.4074596,13.458265981629339,True,True,True
9df87,claude-v3-sonnet,claude-v3-sonnet_3,claude-v3-sonnet,original,original,gpt-4-turbo,6.0872433345060495,0.17782748973313742,-9.484596139458992,64.3960579060018,271103706.6510906,14.60593216780552,False,False,True
10e96,claude-v3-sonnet,claude-v3-sonnet_1,original,claude-v3-sonnet,original,claude-v3-sonnet,3.2539476391209976,0.2661436318051623,-6.1900458161857115,66.33885119780898,270863851.78848094,14.166418480566293,False,False,True
e30cc,original,gpt-4-turbo_1,claude-v3-sonnet_1,claude-v3-sonnet,gpt-4-turbo,gpt-4-turbo,1.04892377181669,-0.45304702154656507,-3.4617662195985024,67.8508379574865,272817077.6801777,13.802448861755243,False,True,True
2839e,claude-v3-sonnet,original,original,original,original,original,3.4762057875226624,1.0928043117609674,-6.358720300140355,66.18644859455526,268618751.63845485,14.188920715199766,False,False,True
82976,claude-v3-sonnet,claude-v3-sonnet_1,claude-v3-sonnet,claude-v3-haiku_1,claude-v3-haiku,gpt-4-turbo,6.467829464551372,0.10480600680849042,-11.547099260548295,64.13508966974914,271302023.2593972,14.881083026873815,False,False,True
