id,structure_50b8d,structure_33fe8,structure_ad7f2,structure_8f3a1,structure_c049e,structure_7223a,structure_8c401,structure_3c59f,structure_c1943,structure_e0f31,structure_b4c93,structure_791d6,structure_9eff6,structure_627d5,structure_d9adc,structure_51837,structure_5863e,structure_43740,structure_00d94,structure_e499b,structure_a58fd,structure_8714b,structure_3330e,structure_b0cc9,structure_87ad2,structure_4c0c7,structure_bfc0b,structure_0b23a,structure_75259,structure_286c4,runtime_perc_diff,memory_perc_diff,cpu_perc_diff,runtime,memory,cpu,runtime_has_improved,memory_has_improved,cpu_has_improved
7180d,original,gpt-4-turbo,original,gpt-4-turbo,gpt-4-turbo,gpt-4-turbo,original,original,original,gpt-4,original,original,original,gpt-4-turbo,original,original,artemis-llm,original,gpt-4,gpt-4-turbo,gpt-3.5-turbo,artemis-llm,gpt-4,artemis-llm,artemis-llm,gpt-4,original,original,original,artemis-llm,-0.08076911634807077,0.22824090390496327,0.06042798243738223,5.000866671651602,22927403.694831584,99.70294752372187,True,False,False
49852,artemis-llm,original,original,gpt-4-turbo,original,gpt-4-turbo,artemis-llm,original,gpt-4,original,artemis-llm,original,gpt-4-turbo,gpt-4-turbo,original,gpt-4-turbo,artemis-llm,original,gpt-4,artemis-llm,artemis-llm,original,gpt-4,original,artemis-llm,original,gpt-4,original,original,original,-0.6456465589385577,-0.025131214999205113,0.06344867333699086,5.029092641547322,22985628.235601038,99.69993398483864,True,True,False
3f034,original,gpt-4-turbo,original,original,gpt-4-turbo,original,artemis-llm,artemis-llm,gpt-4-turbo,original,artemis-llm,original,original,gpt-4-turbo,original,original,original,original,gpt-4,original,artemis-llm,original,original,artemis-llm,artemis-llm,original,original,original,artemis-llm,original,-1.346393145622943,-0.12879116961852516,0.04155254197555185,5.064107762649655,23009449.140916098,99.72177827326243,True,True,False
7ba76,artemis-llm,gpt-4-turbo,original,gpt-4-turbo,original,gpt-4-turbo,artemis-llm,artemis-llm,gpt-4,gpt-4,artemis-llm,original,gpt-4-turbo,original,original,original,artemis-llm,original,original,gpt-4-turbo,artemis-llm,artemis-llm,gpt-4,original,artemis-llm,gpt-4,gpt-4,original,artemis-llm,original,-0.3397801010853927,-0.2269826103786822,10.00262607462017,5.013809012249112,23032013.389778513,89.78428933213836,True,True,False
d059c,original,original,artemis-llm,original,gpt-4-turbo,gpt-4-turbo,artemis-llm,artemis-llm,gpt-4-turbo,gpt-4,gpt-4-turbo,original,original,gpt-4-turbo,gpt-4-turbo,original,original,original,original,gpt-4-turbo,gpt-3.5-turbo,artemis-llm,original,artemis-llm,artemis-llm,original,gpt-4,gpt-4-turbo,original,original,-0.035050014537563255,-0.041409715071987874,0.035224917844793195,4.998582165502012,22989369.01100779,99.72809091563144,True,True,False
ae4e0,artemis-llm,gpt-4,original,original,gpt-4-turbo,gpt-4-turbo,artemis-llm,artemis-llm,gpt-4-turbo,gpt-4-turbo,gpt-4,original,gpt-4,original,gpt-4-turbo,gpt-4-turbo,original,original,original,gpt-4-turbo,original,artemis-llm,original,artemis-llm,artemis-llm,gpt-4,gpt-4,original,artemis-llm,original,-1.059003034965513,0.296762594472969,0.09549430157523932,5.049747365154326,22911657.51098419,99.66796423025492,True,False,False
1b137,artemis-llm,gpt-4,artemis-llm,original,original,gpt-4-turbo,original,artemis-llm,gpt-4-turbo,gpt-4-turbo,gpt-4,original,gpt-4,original,gpt-4-turbo,gpt-4-turbo,artemis-llm,original,gpt-4,gpt-4-turbo,original,original,gpt-4,artemis-llm,artemis-llm,gpt-4-turbo,original,gpt-4-turbo,gpt-4,original,0.045839870314084354,-0.009226654294595238,0.05450458500858291,4.9945402348414065,22981973.390911847,99.70885689646666,False,True,False
bfb2c,artemis-llm,gpt-4,original,gpt-4-turbo,original,gpt-4-turbo,artemis-llm,artemis-llm,gpt-4,gpt-4,gpt-4-turbo,original,original,gpt-4-turbo,gpt-4-turbo,original,artemis-llm,original,original,gpt-4-turbo,artemis-llm,artemis-llm,gpt-4,artemis-llm,original,gpt-4-turbo,gpt-4,original,original,original,-0.45544281964893557,-0.1516735910554542,0.014333108680684475,5.019588482566178,23014707.487752445,99.74893325976714,True,True,False
fe89f,original,gpt-4,original,gpt-4-turbo,original,gpt-4-turbo,original,artemis-llm,gpt-4,gpt-4,artemis-llm,original,original,original,original,original,artemis-llm,original,original,gpt-4-turbo,artemis-llm,artemis-llm,gpt-4,artemis-llm,artemis-llm,gpt-4-turbo,gpt-4,gpt-4-turbo,gpt-4,original,-0.04557517712615929,-0.0356914399535551,0.045530652394920594,4.99910809006542,22988054.959784616,99.71780958171834,True,True,False
35d30,artemis-llm,gpt-4-turbo,original,gpt-4-turbo,gpt-4-turbo,gpt-4-turbo,artemis-llm,artemis-llm,gpt-4,gpt-4,original,original,gpt-4-turbo,gpt-4-turbo,original,gpt-4-turbo,original,original,original,gpt-4-turbo,original,artemis-llm,original,artemis-llm,artemis-llm,gpt-4,original,original,artemis-llm,original,0.03688744928007135,0.10982215065282017,-0.01702016632465486,4.994987572170794,22954616.15039464,99.78021230038586,False,False,True
97f83,artemis-llm,gpt-4-turbo,original,gpt-4-turbo,original,gpt-4-turbo,artemis-llm,artemis-llm,gpt-4,gpt-4,original,original,gpt-4-turbo,gpt-4-turbo,gpt-4-turbo,original,original,original,original,artemis-llm,gpt-3.5-turbo,gpt-4-turbo,original,original,original,gpt-4,original,original,artemis-llm,original,-0.5185111419294123,-0.07696144499470838,0.07667679327036866,5.022739899903536,22997538.746325403,99.68673718480308,True,True,False
b5d06,original,gpt-4,original,original,gpt-4-turbo,original,original,original,gpt-4,gpt-4-turbo,artemis-llm,original,original,gpt-4-turbo,gpt-4-turbo,original,original,original,gpt-4,gpt-4-turbo,original,artemis-llm,original,original,original,gpt-4-turbo,original,gpt-4-turbo,original,original,-0.6166224968532603,-0.06323333384036105,0.07489432764103093,5.027642358280718,22994384.04654608,99.6885154301319,True,True,False
aca19,artemis-llm,gpt-4-turbo,artemis-llm,gpt-4-turbo,gpt-4-turbo,gpt-4-turbo,artemis-llm,artemis-llm,original,gpt-4,original,original,gpt-4,gpt-4-turbo,gpt-4-turbo,gpt-4-turbo,artemis-llm,original,gpt-4,original,original,artemis-llm,gpt-4,artemis-llm,artemis-llm,gpt-4-turbo,original,gpt-4-turbo,original,original,0.025613196172356013,0.041138701180601575,0.07470756644393109,4.9955509275197985,22970399.50620063,99.68870174913906,False,False,False
