id,structure_5fba4,structure_06fb2,structure_975e2,structure_52fce,structure_14320,structure_c80df,structure_6fedc,structure_bbdd3,structure_4bd55,structure_d00ba,structure_ea5c4,structure_74928,structure_9176d,structure_24ac5,structure_bcaba,structure_bfcaa,structure_dc0fa,structure_1a80e,structure_70b08,structure_793be,structure_5a2ea,runtime_perc_diff,memory_perc_diff,cpu_perc_diff,runtime,memory,cpu,runtime_has_improved,memory_has_improved,cpu_has_improved
107b7,original,gpt-4-o_2,gpt-4-o,gpt-4-o,original,gpt-4-o,gpt-4-o,gpt-4-o,original,original,gpt-4-o,original,gpt-4-o,original,gpt-4-o_1,original,gpt-4-o,gpt-4-o,original,gpt-4-o,gpt-4-o,0.16353193795823404,-0.13664291762545455,0.0009225885775446356,24.67496988531202,8328671.238296092,99.9206289877678,False,True,False
389ee,original,gpt-4-o,original,gpt-4-o,gpt-4-o,original,original,original,original,gpt-4-o,gpt-4-o,original,gpt-4-o,gpt-4-o,original,gpt-4-o,gpt-4-o,original,original,original,gpt-4-o,0.19412714645129442,0.028408699906159803,-0.0022295603606091595,24.66740816099569,8314943.389831063,99.92377866387199,False,False,True
806e5,gpt-4-o,gpt-4-o_2,gpt-4-o,gpt-4-o,gpt-4-o,gpt-4-o,original,original,gpt-4-o,original,gpt-4-o,gpt-4-o,gpt-4-o,original,gpt-4-o_1,original,gpt-4-o,original,original,original,original,0.587475752988288,-0.6383701119882781,-0.0003395543978153715,24.570190528910608,8370401.425482396,99.92189014060276,False,True,True
c163e,original,gpt-4-o,gpt-4-o,original,original,gpt-4-o,original,original,original,original,gpt-4-o,gpt-4-o,gpt-4-o,gpt-4-o,gpt-4-o_1,original,gpt-4-o,original,original,gpt-4-o,gpt-4-o,0.3860025440359342,-0.25441417753357803,0.0027157703844390034,24.61998541308567,8338466.634631692,99.91883721269674,False,True,False
4b9f1,original,gpt-4-o,original,gpt-4-o,gpt-4-o,gpt-4-o,gpt-4-o,gpt-4-o,gpt-4-o,original,original,original,original,gpt-4-o,gpt-4-o_1,original,gpt-4-o,gpt-4-o,original,original,gpt-4-o,0.16227977345323102,-0.20817961198140364,-0.0011173167270456098,24.675279362620785,8334621.164231349,99.92266729278407,False,True,True
1eb13,gpt-4-o,original,original,original,original,gpt-4-o,original,gpt-4-o,original,gpt-4-o,original,original,original,original,original,gpt-4-o,original,gpt-4-o,gpt-4-o,gpt-4-o,original,0.4271136677222861,-0.11488046184861592,0.005359887895202031,24.609824639586733,8326861.188206312,99.91619516947362,False,True,False
51038,original,gpt-4-o,original,original,original,gpt-4-o,original,gpt-4-o,gpt-4-o,gpt-4-o,original,gpt-4-o,gpt-4-o,original,original,gpt-4-o,gpt-4-o,gpt-4-o,original,original,gpt-4-o,0.13956321315692938,-0.36344746938831396,0.0005609240414117595,24.680893848510458,8347535.2674061535,99.92099036858119,False,True,False
06856,gpt-4-o,gpt-4-o,original,original,original,gpt-4-o,gpt-4-o,original,original,gpt-4-o,gpt-4-o,gpt-4-o,original,original,gpt-4-o,gpt-4-o,gpt-4-o,gpt-4-o,gpt-4-o,gpt-4-o,gpt-4-o,0.3048412428593385,-0.22459816982227918,0.004485494750500173,24.64004474312067,8335986.745965261,99.91706887666436,False,True,False
bf9be,original,gpt-4-o_2,original,gpt-4-o,original,gpt-4-o,original,original,original,gpt-4-o,original,gpt-4-o,original,original,gpt-4-o,gpt-4-o,original,original,original,gpt-4-o,gpt-4-o,0.2550291142773251,0.10395971657440789,0.0017377877534385982,24.65235600369051,8308659.580416097,99.91981442810871,False,False,False
2804c,original,gpt-4-o,gpt-4-o,gpt-4-o,original,gpt-4-o,original,gpt-4-o,gpt-4-o,original,original,gpt-4-o,gpt-4-o,original,gpt-4-o_1,original,gpt-4-o,original,original,gpt-4-o,original,0.3176229769234729,-0.36952233932682127,0.002244911481067013,24.636885688025504,8348040.532941916,99.91930770221532,False,True,False
25024,original,gpt-4-o,original,original,gpt-4-o,gpt-4-o,original,gpt-4-o,original,original,gpt-4-o,original,original,gpt-4-o,gpt-4-o_1,gpt-4-o,original,gpt-4-o,original,original,gpt-4-o,0.4170852586983046,0.035107383973284986,-0.004078039198281279,24.612303199730814,8314386.239763928,99.92562569259377,False,False,True
033b2,original,gpt-4-o_2,original,gpt-4-o,original,gpt-4-o,gpt-4-o,gpt-4-o,gpt-4-o,gpt-4-o,gpt-4-o,gpt-4-o,gpt-4-o,gpt-4-o,gpt-4-o_1,original,original,original,original,gpt-4-o,original,0.3053446245984013,-0.31749399203301604,-0.0008621318530516838,24.63992033037357,8343713.175971916,99.92241230810043,False,True,True
7ada9,gpt-4-o,gpt-4-o_2,original,gpt-4-o,gpt-4-o,gpt-4-o,original,original,original,gpt-4-o,gpt-4-o,original,gpt-4-o,original,original,original,gpt-4-o,original,original,original,original,0.26830552025020316,-0.19772101648750695,0.0005526059037549275,24.649074688516556,8333751.290816932,99.92099868019334,False,True,False
6acce,gpt-4-o,original,original,gpt-4-o,gpt-4-o,original,gpt-4-o,gpt-4-o,gpt-4-o,gpt-4-o,original,original,original,original,gpt-4-o,original,gpt-4-o,gpt-4-o,gpt-4-o,gpt-4-o,original,0.41299302072618105,-0.2624775030900291,-0.001602947931878261,24.613314612200483,8339137.286110415,99.92315254301536,False,True,True
eeedc,original,gpt-4-o,original,gpt-4-o,gpt-4-o,gpt-4-o,gpt-4-o,original,gpt-4-o,original,original,original,original,gpt-4-o,gpt-4-o,original,gpt-4-o,gpt-4-o,gpt-4-o,gpt-4-o,gpt-4-o,0.23259942212194745,0.1184209015579999,-0.0025990333924757573,24.65789958900772,8307456.799376757,99.92414784705541,False,False,True
6f9d1,original,gpt-4-o,original,original,original,gpt-4-o,original,original,original,gpt-4-o,gpt-4-o,original,gpt-4-o,gpt-4-o,gpt-4-o,original,original,original,original,gpt-4-o,gpt-4-o,0.003078744847105538,-0.1119775070848247,1.9993005319712505,24.714626513645054,8326619.740568936,97.92381875483287,False,True,False
090ce,original,gpt-4-o_2,gpt-4-o,gpt-4-o,original,gpt-4-o,gpt-4-o,gpt-4-o,original,gpt-4-o,gpt-4-o,original,gpt-4-o,gpt-4-o,original,original,original,original,original,gpt-4-o,gpt-4-o,0.26686314331675515,-0.4450493537896339,-0.00045239295998743734,24.649431177563965,8354322.346019954,99.92200289064404,False,True,True
547f9,gpt-4-o,gpt-4-o_2,original,gpt-4-o,original,gpt-4-o,original,original,gpt-4-o,original,gpt-4-o,gpt-4-o,gpt-4-o,original,gpt-4-o_1,original,original,original,original,gpt-4-o,original,0.2088207508068493,-0.317732869976814,0.0008876317246881561,24.663776579750703,8343733.044182014,99.9206639171973,False,True,False
fbfaf,original,gpt-4-o,original,gpt-4-o,gpt-4-o,original,gpt-4-o,original,gpt-4-o,original,original,gpt-4-o,original,original,gpt-4-o,original,gpt-4-o,gpt-4-o,gpt-4-o,gpt-4-o,original,0.43245490616394483,-0.14155058211165955,-0.003242255541706172,24.608504531811924,8329079.423780072,99.92479056460235,False,True,True
2a508,original,gpt-4-o,original,gpt-4-o,gpt-4-o,gpt-4-o,original,original,gpt-4-o,original,original,original,original,original,original,gpt-4-o,gpt-4-o,original,gpt-4-o,original,gpt-4-o,-0.3648994076387636,-0.1917072125240968,0.0005365070221030317,24.805573739716785,8333251.10432532,99.92101476644555,True,True,False
b6250,original,gpt-4-o_2,original,gpt-4-o,original,gpt-4-o,gpt-4-o,original,original,gpt-4-o,original,gpt-4-o,original,gpt-4-o,original,gpt-4-o,original,gpt-4-o,original,gpt-4-o,gpt-4-o,0.1555633153499993,-0.22919628628134803,0.0031830408487818445,24.676939361263067,8336369.1853919,99.9183703088021,False,True,False
cd894,original,gpt-4-o,original,gpt-4-o,gpt-4-o,original,original,original,original,gpt-4-o,gpt-4-o,original,gpt-4-o,original,original,gpt-4-o,gpt-4-o,gpt-4-o,original,gpt-4-o,gpt-4-o,0.14591547290449358,-0.014676628278618905,0.0039024456349848204,24.67932386290282,8318526.928515702,99.91765146838281,False,True,False
f0ace,gpt-4-o,gpt-4-o_2,original,original,gpt-4-o,gpt-4-o,original,original,gpt-4-o,original,gpt-4-o,original,gpt-4-o,original,gpt-4-o_1,original,original,original,original,original,original,0.4389838505028404,-0.15861536607304277,0.004015743915765438,24.606890877922996,8330498.754119354,99.91753825898357,False,True,False
62d36,original,gpt-4-o,original,gpt-4-o,gpt-4-o,original,original,gpt-4-o,original,original,gpt-4-o,original,gpt-4-o,gpt-4-o,gpt-4-o_1,gpt-4-o,gpt-4-o,gpt-4-o,original,original,gpt-4-o,-0.07841945690474177,-0.15066032862055723,0.003820976748018752,24.734769109962507,8329837.109293847,99.91773287335813,True,True,False
8e27c,original,gpt-4-o,gpt-4-o,gpt-4-o,original,gpt-4-o,original,gpt-4-o,gpt-4-o,gpt-4-o,original,original,gpt-4-o,gpt-4-o,gpt-4-o,original,original,gpt-4-o,original,original,gpt-4-o,-0.20891768954802586,-0.4396725421995018,2.0003712702827476,24.767022253759205,8353875.140134679,97.92274885650644,True,True,False
8c612,original,gpt-4-o,gpt-4-o,gpt-4-o,gpt-4-o,gpt-4-o,original,gpt-4-o,original,original,gpt-4-o,gpt-4-o,original,gpt-4-o,gpt-4-o_1,original,gpt-4-o,gpt-4-o,original,original,gpt-4-o,0.45327799408910857,0.04943448842636233,-0.003832462355503205,24.603358024954797,8313194.610612903,99.92538030840393,False,False,True
ed70a,original,gpt-4-o,gpt-4-o,gpt-4-o,gpt-4-o,original,original,original,original,gpt-4-o,gpt-4-o,original,gpt-4-o,original,original,gpt-4-o,gpt-4-o,gpt-4-o,original,gpt-4-o,gpt-4-o,0.26779972585258777,0.11495441936873858,-0.0005928881273486647,24.649199697561563,8307745.117315791,99.92214327559414,False,False,True
2f9e0,gpt-4-o,gpt-4-o_2,original,original,gpt-4-o,original,gpt-4-o,original,original,gpt-4-o,original,gpt-4-o,original,original,gpt-4-o,original,gpt-4-o,gpt-4-o,gpt-4-o,gpt-4-o,gpt-4-o,0.11881931813780791,-0.30470344105495256,-0.003754659884837252,24.686020782534033,8342649.346678771,99.92530256696864,False,True,True
b3aa1,original,gpt-4-o,gpt-4-o,gpt-4-o,gpt-4-o,gpt-4-o,gpt-4-o,original,gpt-4-o,original,gpt-4-o,gpt-4-o,original,original,gpt-4-o_1,original,gpt-4-o,original,original,original,gpt-4-o,0.06055286159590207,-0.15668625017110857,-0.003036150002781536,24.700421563014388,8330338.30364229,99.92458462075146,False,True,True
1e36d,original,gpt-4-o,gpt-4-o,gpt-4-o,gpt-4-o,original,original,gpt-4-o,original,original,original,gpt-4-o,original,original,gpt-4-o_1,original,gpt-4-o,gpt-4-o,original,original,original,0.2155013676649076,0.08895299806141693,1.9997985301660945,24.662125439411028,8309907.735149656,97.92332114731336,False,False,False
8f242,original,gpt-4-o,original,gpt-4-o,gpt-4-o,gpt-4-o,original,original,original,gpt-4-o,gpt-4-o,gpt-4-o,gpt-4-o,gpt-4-o,gpt-4-o,original,original,original,gpt-4-o,gpt-4-o,original,0.4376577691219768,-0.18185164383903604,0.004514615103457849,24.60721862407401,8332431.386497233,99.91703977915607,False,True,False
2890a,original,gpt-4-o_2,original,gpt-4-o,gpt-4-o,original,original,gpt-4-o,original,gpt-4-o,gpt-4-o,original,gpt-4-o,original,gpt-4-o_1,original,gpt-4-o,original,original,gpt-4-o,original,0.4339540552019958,-0.07375325173418804,2.003245884132043,24.608134011318906,8323440.512197899,97.9198764977672,False,True,False
c835e,original,gpt-4-o_2,original,original,gpt-4-o,gpt-4-o,gpt-4-o,original,gpt-4-o,original,original,original,original,original,gpt-4-o,original,original,gpt-4-o,gpt-4-o,original,gpt-4-o,0.07570126973957032,-0.27159777255306283,2.005808578739956,24.696677575251087,8339895.846850511,97.91731581357136,False,True,False
93f79,gpt-4-o,gpt-4-o,gpt-4-o,gpt-4-o,gpt-4-o,original,original,original,gpt-4-o,gpt-4-o,original,original,original,original,gpt-4-o,original,gpt-4-o,gpt-4-o,original,gpt-4-o,original,0.09701662490349666,-0.09257196399056979,0.0033958107107612216,24.691409402638673,8325005.722124503,99.91815770585626,False,True,False
0b1f8,original,gpt-4-o_2,original,original,gpt-4-o,original,original,original,original,gpt-4-o,gpt-4-o,original,gpt-4-o,original,gpt-4-o_1,original,original,gpt-4-o,original,original,original,-0.048671279289200065,-0.3559069948848805,-0.0015406499540209725,24.72741673260927,8346908.103050629,99.92309029390974,True,True,True
a4d38,original,gpt-4-o_2,original,gpt-4-o,gpt-4-o,gpt-4-o,gpt-4-o,original,original,gpt-4-o,gpt-4-o,original,gpt-4-o,original,gpt-4-o_1,original,gpt-4-o,original,original,original,original,0.05740356983995249,-0.09184036964455708,0.0025763982052880263,24.701199922673403,8324944.8731823955,99.91897647553961,False,True,False
36ba7,original,gpt-4-o_2,gpt-4-o,gpt-4-o,gpt-4-o,original,original,gpt-4-o,original,gpt-4-o,gpt-4-o,gpt-4-o,gpt-4-o,original,gpt-4-o,gpt-4-o,gpt-4-o,gpt-4-o,original,gpt-4-o,gpt-4-o,0.16681751995724892,0.10449174102466602,0.00489492273322133,24.67415784099139,8308615.330313359,99.9166597698744,False,False,False
