id,structure_5fba4,structure_06fb2,structure_975e2,structure_52fce,structure_14320,structure_c80df,structure_6fedc,structure_bbdd3,structure_4bd55,structure_d00ba,structure_ea5c4,structure_74928,structure_9176d,structure_24ac5,structure_bcaba,structure_bfcaa,structure_dc0fa,structure_1a80e,structure_70b08,structure_793be,structure_5a2ea,runtime_perc_diff,memory_perc_diff,cpu_perc_diff,runtime,memory,cpu,runtime_has_improved,memory_has_improved,cpu_has_improved
31572,original,gpt-4-o_2,original,original,gpt-4-o,original,original,gpt-4-o,gpt-4-o,original,gpt-4-o,gpt-4-o,gpt-4-o,gpt-4-o,original,gpt-4-o,original,original,gpt-4-o,gpt-4-o,original,0.2517318713739024,-8.09717785481374,0.0035772218978592915,24.7447336067756,8800810.235635946,99.91366700510343,False,True,False
56f54,original,gpt-4-o_2,gpt-4-o,gpt-4-o,original,original,original,gpt-4-o,gpt-4-o,gpt-4-o,gpt-4-o,original,original,original,gpt-4-o_1,original,gpt-4-o,original,original,gpt-4-o,original,0.6744078871732357,-9.218464411508597,-0.0020938165897233575,24.639879601697128,8892100.594931867,99.91933335031139,False,True,True
aa415,original,gpt-4-o_2,original,gpt-4-o,original,original,original,gpt-4-o,original,original,original,original,original,original,gpt-4-o_1,gpt-4-o,original,original,original,gpt-4-o,original,0.4308348280149484,-9.672229604765901,-0.014086600744212753,24.700303211808205,8929044.217666939,99.9313162093896,False,True,True
1a078,original,gpt-4-o_2,original,gpt-4-o,gpt-4-o,original,original,gpt-4-o,original,original,gpt-4-o,original,original,gpt-4-o,gpt-4-o,gpt-4-o,original,original,original,original,gpt-4-o,0.6812057702448786,-7.7794225336508775,0.004649060969527292,24.638193238526583,8774939.955408335,99.9125960530722,False,True,False
c5be5,original,gpt-4-o_2,gpt-4-o,gpt-4-o,original,original,original,gpt-4-o,original,original,original,gpt-4-o,original,original,gpt-4-o,gpt-4-o,gpt-4-o,original,gpt-4-o,original,original,-4.894128178423402,-8.437722838420266,-0.00014725810109750707,26.02127643302083,8828535.952781348,99.91738840276992,True,True,True
e8ca9,original,gpt-4-o_2,original,gpt-4-o,original,gpt-4-o,gpt-4-o,gpt-4-o,gpt-4-o,original,original,gpt-4-o,original,original,gpt-4-o_1,gpt-4-o,gpt-4-o,original,gpt-4-o,original,original,0.650543517744355,-8.331593034175615,0.008399154573191056,24.645799679060776,8819895.317696897,99.90884906299851,False,True,False
62204,original,gpt-4-o_2,gpt-4-o,gpt-4-o,original,original,gpt-4-o,gpt-4-o,original,gpt-4-o,original,gpt-4-o,original,original,gpt-4-o,gpt-4-o,gpt-4-o,gpt-4-o,original,original,gpt-4-o,0.5274042182489127,-8.465136213326083,0.01051754484994495,24.67634706820051,8830767.832607003,99.90673242587472,False,True,False
2550e,original,original,original,original,gpt-4-o,original,gpt-4-o,gpt-4-o,gpt-4-o,original,gpt-4-o,original,gpt-4-o,gpt-4-o,original,original,original,original,gpt-4-o,gpt-4-o,original,0.036174086113433195,-8.8022416974865,-0.009349464574970795,24.79820741713047,8858213.520407222,99.92658299361426,False,True,True
13739,original,original,gpt-4-o,gpt-4-o,gpt-4-o,original,original,gpt-4-o,gpt-4-o,original,original,gpt-4-o,gpt-4-o,gpt-4-o,gpt-4-o_1,gpt-4-o,original,original,original,original,original,0.8060800619312092,-10.277097456243197,-0.012810926123423813,24.607215446730454,8978289.973052323,99.93004159050098,False,True,True
2e066,original,original,gpt-4-o,original,gpt-4-o,original,gpt-4-o,gpt-4-o,gpt-4-o,gpt-4-o,gpt-4-o,original,gpt-4-o,gpt-4-o,gpt-4-o,original,gpt-4-o,original,gpt-4-o,gpt-4-o,original,0.6090402796219131,-9.615540824303356,-0.003948863712132138,24.656095462540787,8924428.85943797,99.9211868622203,False,True,True
c9a27,original,gpt-4-o_2,gpt-4-o,gpt-4-o,original,gpt-4-o,original,gpt-4-o,original,original,gpt-4-o,original,gpt-4-o,gpt-4-o,original,gpt-4-o,gpt-4-o,gpt-4-o,gpt-4-o,original,gpt-4-o,0.159579581663525,-8.21466573195158,0.0017849020363957628,24.767593992253143,8810375.596473271,99.91545784166368,False,True,False
a3b3b,original,gpt-4-o_2,original,original,original,gpt-4-o,gpt-4-o,gpt-4-o,original,original,gpt-4-o,original,gpt-4-o,gpt-4-o,original,original,original,original,gpt-4-o,gpt-4-o,original,0.9307825593266261,-9.589529332217127,-0.002934707677628168,24.576280272255342,8922311.114920124,99.92017354548848,False,True,True
86dd9,original,gpt-4-o_2,original,original,gpt-4-o,gpt-4-o,original,gpt-4-o,original,gpt-4-o,gpt-4-o,original,original,gpt-4-o,gpt-4-o_1,original,original,original,original,original,original,-0.06521057495517454,-8.48494295003056,-0.015400547203870662,24.82335809369882,8832380.412459526,99.93262906844382,True,True,True
1fa02,original,original,original,original,original,original,original,gpt-4-o,gpt-4-o,gpt-4-o,gpt-4-o,gpt-4-o,gpt-4-o,original,original,original,original,gpt-4-o,original,gpt-4-o,gpt-4-o,0.7291488765416919,-9.688296100490685,-0.0165113446914705,24.626299905280273,8930352.283083923,99.93373894664948,False,True,True
4f385,original,gpt-4-o_2,original,original,gpt-4-o,gpt-4-o,gpt-4-o,gpt-4-o,original,original,gpt-4-o,original,original,gpt-4-o,gpt-4-o_1,original,original,original,original,original,original,0.9820067613814855,-8.803770852417465,-0.00036158001015326784,24.563572991639376,8858338.017666405,99.91760254730887,False,True,True
cb557,original,gpt-4-o_2,gpt-4-o,gpt-4-o,gpt-4-o,original,gpt-4-o,gpt-4-o,gpt-4-o,gpt-4-o,original,gpt-4-o,original,original,gpt-4-o_1,original,original,gpt-4-o,original,original,original,0.8514121703177117,-9.020126079159317,-0.017838125039490185,24.595969828466576,8875952.73556959,99.93506462897089,False,True,True
1a110,original,gpt-4-o_2,original,original,gpt-4-o,original,gpt-4-o,gpt-4-o,gpt-4-o,original,gpt-4-o,original,original,gpt-4-o,original,gpt-4-o,gpt-4-o,gpt-4-o,gpt-4-o,original,original,0.9167985240700759,-9.268964403147205,0.01114931940631083,24.57974931721886,8896212.088424413,99.90610117416698,False,True,False
0db94,original,original,gpt-4-o,original,gpt-4-o,original,original,gpt-4-o,original,original,gpt-4-o,original,original,original,gpt-4-o_1,gpt-4-o,original,gpt-4-o,original,original,original,0.4585815531973829,-9.28709401971549,0.012021376926909232,24.693420031418402,8897688.124323117,99.90522983835014,False,True,False
e4893,original,gpt-4-o_2,gpt-4-o,original,gpt-4-o,original,gpt-4-o,gpt-4-o,gpt-4-o,original,gpt-4-o,gpt-4-o,gpt-4-o,gpt-4-o,original,original,original,original,gpt-4-o,gpt-4-o,original,-2.0488335650619156,-8.97003630676056,0.005186687190415781,25.3154390429457,8871874.64037436,99.91205887178397,True,True,False
2644b,gpt-4-o,original,original,original,gpt-4-o,original,original,gpt-4-o,original,gpt-4-o,gpt-4-o,original,gpt-4-o,original,gpt-4-o_1,gpt-4-o,original,original,original,gpt-4-o,original,-1.271095121107657,-8.635526335430857,-0.006460652219372765,25.12250405798356,8844640.268136125,99.92369657200318,True,True,True
8df65,original,gpt-4-o_2,original,gpt-4-o,gpt-4-o,original,original,original,original,gpt-4-o,original,original,original,gpt-4-o,gpt-4-o,gpt-4-o,original,gpt-4-o,original,original,gpt-4-o,0.9404263159413667,-9.492201442730515,0.014443216004125342,24.573887928078573,8914387.094117684,99.90281000355627,False,True,False
